id,party,census_block,dem_partisan_score,state,census_tract,x,y
840113770,Republican,37025040500,0.4,37,37025040500,998164.2573304357,-559197.9666322924
2207113216,Democrat,37041930200,98.5,37,37041930200,1341337.92842092,-439518.9820319362
3816125931,Republican,37041930200,1.6,37,37041930200,1341337.92842092,-439518.9820319362
3814317762,Republican,37119002702,39.8,37,37119002702,971980.4965107023,-581207.4308346704
81822203,Republican,37119002702,41.349999999999994,37,37119002702,971980.4965107023,-581207.4308346704
534450944,Republican,37119002702,42.9,37,37119002702,971980.4965107023,-581207.4308346704
3684944364,Democrat,37119002904,65.8,37,37119002904,975879.0962607979,-585462.4223959129
71814365,Republican,37119002904,0.8,37,37119002904,975879.0962607979,-585462.4223959129
362588094,Republican,37183053202,4.0,37,37183053202,1153225.073479777,-517037.2864684353
1560259001,Democrat,37119004600,97.0,37,37119004600,969372.3198712356,-572553.9807575786
3261334533,Democrat,37119004600,97.7,37,37119004600,969372.3198712356,-572553.9807575786
593844916,Democrat,37119004600,98.4,37,37119004600,969372.3198712356,-572553.9807575786
3620584647,Republican,37025042602,1.2,37,37025042602,983863.6663564148,-559687.9298436181
1121566703,Democrat,37025042602,98.7,37,37025042602,983863.6663564148,-559687.9298436181
3047659087,Republican,37113970600,1.1,37,37113970600,745382.9623530275,-602431.4726691153
